               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-05-31 18:04:56 |   151 |     1.000e-04 |     0.9113 |          0.9827 |       1.4727 |            0.6902 |            2967
2022-05-31 18:08:14 |   152 |     1.000e-04 |     0.9109 |          0.9674 |       1.4852 |            0.6726 |            2967
2022-05-31 18:11:32 |   153 |     1.000e-04 |     0.9034 |          1.0591 |       1.7679 |            0.7067 |            2967
2022-05-31 18:14:50 |   154 |     1.000e-04 |     0.9134 |          1.3126 |       2.9238 |            0.7284 |            2967
2022-05-31 18:18:07 |   155 |     1.000e-04 |     0.9122 |          1.0060 |       1.6593 |            0.6745 |            2967
2022-05-31 18:21:30 |   156 |     1.000e-04 |     0.8978 |          0.9233 |       1.2140 |            0.6827 |            2967
2022-05-31 18:24:50 |   157 |     1.000e-04 |     0.9018 |          0.9318 |       1.3622 |            0.6623 |            2967
2022-05-31 18:28:10 |   158 |     1.000e-04 |     0.9062 |          1.0163 |       1.4755 |            0.7227 |            2967
2022-05-31 18:31:28 |   159 |     1.000e-04 |     0.8934 |          1.0160 |       1.6234 |            0.6919 |            2967
2022-05-31 18:34:47 |   160 |     1.000e-04 |     0.8980 |          0.9577 |       1.3467 |            0.6890 |            2967
2022-05-31 18:38:12 |   161 |     1.000e-04 |     0.9031 |          0.9569 |       1.3782 |            0.6835 |            2967
2022-05-31 18:41:31 |   162 |     1.000e-04 |     0.8926 |          0.9817 |       1.4265 |            0.6979 |            2967
2022-05-31 18:44:49 |   163 |     1.000e-04 |     0.8957 |          0.9588 |       1.3289 |            0.6947 |            2967
2022-05-31 18:48:10 |   164 |     1.000e-04 |     0.9016 |          0.9928 |       1.4711 |            0.7001 |            2967
2022-05-31 18:51:27 |   165 |     1.000e-04 |     0.8920 |          0.9307 |       1.2981 |            0.6730 |            2967
2022-05-31 18:54:44 |   166 |     1.000e-04 |     0.8932 |          1.0338 |       1.7718 |            0.6798 |            2967
2022-05-31 18:58:05 |   167 |     1.000e-04 |     0.8905 |          1.0241 |       1.5917 |            0.7091 |            2967
2022-05-31 19:01:22 |   168 |     1.000e-04 |     0.8879 |          1.0153 |       1.6576 |            0.6845 |            2967
2022-05-31 19:04:40 |   169 |     1.000e-04 |     0.8931 |          0.9611 |       1.4455 |            0.6733 |            2967
2022-05-31 19:07:58 |   170 |     1.000e-04 |     0.8916 |          0.9418 |       1.3340 |            0.6768 |            2967
2022-05-31 19:11:17 |   171 |     1.000e-04 |     0.8863 |          1.1890 |       2.5238 |            0.6854 |            2967
2022-05-31 19:14:34 |   172 |     1.000e-04 |     0.8909 |          0.9715 |       1.5117 |            0.6716 |            2967
2022-05-31 19:17:51 |   173 |     1.000e-04 |     0.8828 |          1.0347 |       1.7115 |            0.6940 |            2967
2022-05-31 19:21:09 |   174 |     1.000e-04 |     0.8814 |          0.9306 |       1.2056 |            0.6916 |            2967
2022-05-31 19:24:27 |   175 |     1.000e-04 |     0.8841 |          0.9713 |       1.4674 |            0.6788 |            2967
2022-05-31 19:27:46 |   176 |     1.000e-04 |     0.8788 |          0.9276 |       1.2410 |            0.6815 |            2967
2022-05-31 19:31:04 |   177 |     1.000e-04 |     0.8844 |          1.0174 |       1.6926 |            0.6787 |            2967
2022-05-31 19:34:22 |   178 |     1.000e-04 |     0.8756 |          0.9267 |       1.2499 |            0.6792 |            2967
2022-05-31 19:37:39 |   179 |     1.000e-04 |     0.8825 |          1.0583 |       1.8369 |            0.6920 |            2967
2022-05-31 19:40:56 |   180 |     1.000e-04 |     0.8740 |          0.9534 |       1.4142 |            0.6723 |            2967
2022-05-31 19:44:14 |   181 |     1.000e-04 |     0.8756 |          1.0973 |       2.0306 |            0.6929 |            2967
2022-05-31 19:47:32 |   182 |     1.000e-04 |     0.8715 |          0.9383 |       1.3750 |            0.6636 |            2967
2022-05-31 19:50:50 |   183 |     1.000e-04 |     0.8749 |          0.9823 |       1.5615 |            0.6720 |            2967
2022-05-31 19:54:07 |   184 |     1.000e-04 |     0.8828 |          1.0380 |       1.7654 |            0.6851 |            2967
2022-05-31 19:57:27 |   185 |     1.000e-04 |     0.8649 |          1.0077 |       1.6374 |            0.6817 |            2967
2022-05-31 20:00:44 |   186 |     1.000e-04 |     0.8654 |          0.9244 |       1.2034 |            0.6852 |            2967
2022-05-31 20:04:03 |   187 |     1.000e-04 |     0.8690 |          0.9498 |       1.2195 |            0.7073 |            2967
2022-05-31 20:07:20 |   188 |     1.000e-04 |     0.8684 |          0.9407 |       1.3461 |            0.6738 |            2967
2022-05-31 20:10:38 |   189 |     1.000e-04 |     0.8668 |          0.9272 |       1.2761 |            0.6734 |            2967
2022-05-31 20:13:54 |   190 |     1.000e-04 |     0.8615 |          1.0403 |       1.7227 |            0.6975 |            2967
2022-05-31 20:17:11 |   191 |     1.000e-04 |     0.8566 |          0.9882 |       1.5915 |            0.6713 |            2967
2022-05-31 20:20:29 |   192 |     1.000e-04 |     0.8769 |          0.9065 |       1.1464 |            0.6794 |            2967
2022-05-31 20:23:47 |   193 |     1.000e-04 |     0.8622 |          0.9223 |       1.2285 |            0.6782 |            2967
2022-05-31 20:27:04 |   194 |     1.000e-04 |     0.8567 |          0.8852 |       1.1043 |            0.6669 |            2967
2022-05-31 20:30:23 |   195 |     1.000e-04 |     0.8594 |          0.9628 |       1.2891 |            0.7058 |            2967
2022-05-31 20:33:42 |   196 |     1.000e-04 |     0.8676 |          0.9107 |       1.3333 |            0.6457 |            2967
2022-05-31 20:36:59 |   197 |     1.000e-04 |     0.8570 |          1.0576 |       1.9493 |            0.6673 |            2967
2022-05-31 20:40:17 |   198 |     1.000e-04 |     0.8572 |          0.9343 |       1.2336 |            0.6890 |            2967
2022-05-31 20:43:34 |   199 |     1.000e-04 |     0.8577 |          0.9282 |       1.3031 |            0.6704 |            2967
