               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | MAE_energy_0_grad | MAE_energy_1_grad | GPU Memory (MB)
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 17:13:07 |    76 |     1.000e-04 |     0.9675 |          1.1751 |                      0.9824 |       1.8086 |       1.7708 |            1589
2022-06-20 17:15:06 |    77 |     1.000e-04 |     0.9814 |          1.2098 |                      1.0214 |       1.7341 |       1.6588 |            1589
2022-06-20 17:17:05 |    78 |     1.000e-04 |     0.9711 |          1.2926 |                      1.0977 |       1.7723 |       1.8337 |            1589
2022-06-20 17:19:04 |    79 |     1.000e-04 |     0.9553 |          1.1999 |                      0.9980 |       1.8135 |       1.9513 |            1589
2022-06-20 17:21:03 |    80 |     1.000e-04 |     0.9543 |          1.1706 |                      0.9555 |       1.9965 |       2.0173 |            1589
2022-06-20 17:23:01 |    81 |     1.000e-04 |     0.9656 |          1.2543 |                      1.0470 |       2.1059 |       1.8645 |            1589
2022-06-20 17:24:59 |    82 |     1.000e-04 |     0.9456 |          1.2544 |                      1.0438 |       1.9632 |       1.8667 |            1589
2022-06-20 17:26:58 |    83 |     1.000e-04 |     0.9411 |          1.2574 |                      1.0539 |       1.8825 |       1.8663 |            1589
2022-06-20 17:28:57 |    84 |     1.000e-04 |     0.9425 |          1.2086 |                      0.9937 |       2.0463 |       2.0967 |            1589
2022-06-20 17:30:56 |    85 |     1.000e-04 |     0.9337 |          1.2236 |                      0.9728 |       2.3912 |       2.3740 |            1589
2022-06-20 17:32:55 |    86 |     1.000e-04 |     0.9345 |          1.3301 |                      1.1219 |       2.0339 |       1.8316 |            1589
2022-06-20 17:34:54 |    87 |     1.000e-04 |     0.9354 |          1.1462 |                      0.9643 |       1.7916 |       1.6582 |            1589
2022-06-20 17:36:53 |    88 |     1.000e-04 |     0.9112 |          1.2121 |                      1.0095 |       1.8662 |       1.9152 |            1589
2022-06-20 17:38:51 |    89 |     1.000e-04 |     0.9205 |          1.1151 |                      0.9167 |       1.8030 |       1.8761 |            1589
2022-06-20 17:40:50 |    90 |     1.000e-04 |     0.9231 |          1.1007 |                      0.9095 |       1.8898 |       1.8551 |            1589
2022-06-20 17:42:49 |    91 |     1.000e-04 |     0.9088 |          1.1711 |                      0.9869 |       1.7605 |       1.6708 |            1589
2022-06-20 17:44:47 |    92 |     1.000e-04 |     0.9103 |          1.2244 |                      1.0445 |       1.7383 |       1.7209 |            1589
2022-06-20 17:46:45 |    93 |     1.000e-04 |     0.9053 |          1.1484 |                      0.9720 |       1.6341 |       1.5985 |            1589
2022-06-20 17:48:45 |    94 |     1.000e-04 |     0.8935 |          1.2084 |                      1.0270 |       1.7690 |       1.7733 |            1589
2022-06-20 17:50:44 |    95 |     1.000e-04 |     0.9064 |          1.1525 |                      0.9794 |       1.7341 |       1.6490 |            1589
2022-06-20 17:52:43 |    96 |     1.000e-04 |     0.8982 |          1.2768 |                      1.0659 |       2.1608 |       1.8760 |            1589
2022-06-20 17:54:42 |    97 |     1.000e-04 |     0.9009 |          1.1835 |                      0.9995 |       1.7683 |       1.7255 |            1589
2022-06-20 17:56:42 |    98 |     1.000e-04 |     0.8683 |          1.0712 |                      0.8826 |       1.7888 |       1.7772 |            1589
2022-06-20 17:58:41 |    99 |     1.000e-04 |     0.8768 |          1.0774 |                      0.9017 |       1.6398 |       1.6561 |            1589
2022-06-20 18:00:40 |   100 |     1.000e-04 |     0.8864 |          1.3582 |                      1.1069 |       2.4896 |       2.3396 |            1589
2022-06-20 18:02:38 |   101 |     1.000e-04 |     0.8855 |          1.1635 |                      0.9523 |       1.9748 |       2.1320 |            1589
